Clave de idioma;Plan de cuentas;Cuenta de mayor;Texto breve;Texto explicativo;Texto explicativo
ES;XSON;1002000194;Otros dÇbitos Galici;Otros DÇbitos ? Bco. Galicia $ 2710-2-245-3;OTROS DêBITOS ? BCO. GALI
ES;XSON;1002000195;Otros crÇditos Galic;Otros CrÇditos ? Bco. Galicia $ 2710-2-245-3;OTROS CRêDITOS ? BCO. GAL
ES;XSON;1002000200;HSBC Cta Cte AR$;HSBC Cta Cte AR$ 58329-1;HSBC CTA CTE AR$ 58329-1
ES;XSON;1002000201;Entradas de Ch HSBC;Entradas de Cheques - HSBC  Cta Cte AR$ 58329-1;ENTRADAS DE CHEQUES - HSB
ES;XSON;1002000202;Salida de Ch HSBC;Salida de Cheques ? HSBC Cta Cte AR$ 58329-1;SALIDA DE CHEQUES ? HSBC
ES;XSON;1002000203;Transferencias HSBC;Transferencias ? HSBC Cta Cte AR$ 58329-1;TRANSFERENCIAS ? HSBC CTA
ES;XSON;1002000204;Otros DÇbitos HSBC;Otros DÇbitos ? HSBC Cta Cte AR$ 58329-1;OTROS DêBITOS ? HSBC CTA
ES;XSON;1002000205;Otros CrÇditos HSBC;Otros CrÇditos ? HSBC Cta Cte AR$ 58329-1;OTROS CRêDITOS ? HSBC CTA
ES;XSON;1002000210;HSBC Cuenta NO USAR;HSBC Cuenta pagos NO USAR;HSBC CUENTA PAGOS NO USAR
ES;XSON;1002000211;Entrada de NO USAR;Entrada de cheques - HSBC cuenta pagos NO USAR;ENTRADA DE CHEQUES - HSBC
ES;XSON;1002000212;Salida de NO USAR;Salida de cheques - HSBC cuenta pagos NO USAR;SALIDA DE CHEQUES - HSBC
ES;XSON;1002000213;Transferen NO USAR;Transferencias - HSBC cuenta pagos NO USAR;TRANSFERENCIAS - HSBC CUE
ES;XSON;1002000214;Otros deb NO USAR;Otros debitos - HSBC cuenta pagos NO USAR;OTROS DEBITOS - HSBC CUEN
ES;XSON;1002000215;Otros cre NO USAR;Otros creditos - HSBC cuenta pagos NO USAR;OTROS CREDITOS - HSBC CUE
ES;XSON;1002000220;Bco.Patagonia CC. $;Bco.Patagonia Cta.Cte. $ 302-106009463;BCO.PATAGONIA CTA.CTE. $
ES;XSON;1002000221;Entrada de cheques P;Entrada de cheques ? Bco.Patagonia Cta.Cte. $;ENTRADA DE CHEQUES ? BCO.
ES;XSON;1002000222;Salida de cheques BP;Salida de cheques ? Bco.Patagonia Cta.Cte. $ 302-1;SALIDA DE CHEQUES ? BCO.P
ES;XSON;1002000223;Transferencias Patag;Transferencias ? Bco.Patagonia Cta.Cte. $ 302-106;TRANSFERENCIAS ? BCO.PATA
ES;XSON;1002000224;Otros dÇbitos Patago;Otros DÇbitos ? Bco.Patagonia Cta.Cte. $ 302-10600;OTROS DêBITOS ? BCO.PATAG
ES;XSON;1002000225;Otros crÇditos Patag;Otros CrÇditos ? Bco.Patagonia Cta.Cte. $ 302-1060;OTROS CRêDITOS ? BCO.PATA
ES;XSON;1002000240;Citibank Belgrano;Citibank Belgrano;CITIBANK BELGRANO
ES;XSON;1002000241;Entrada de cheques;Entrada de cheques - Citibank;ENTRADA DE CHEQUES - CITI
ES;XSON;1002000242;Salida de cheques;Salida de cheques - Citibank;SALIDA DE CHEQUES - CITIB
ES;XSON;1002000243;Transferencias;Transferencias - Citibank;TRANSFERENCIAS - CITIBANK
ES;XSON;1002000244;Otros debitos;Otros debitos - Citibank;OTROS DEBITOS - CITIBANK
ES;XSON;1002000245;Otros creditos;Otros creditos - Citibank;OTROS CREDITOS - CITIBANK
ES;XSON;1002000260;HSBC-B.Norte;HSBC-B.Norte CC$ 3013-24377-0;HSBC-B.NORTE CC$ 3013-243
ES;XSON;1002000261;Entrada de cheques;Entrada de cheques - HSBC-B.Norte CC$ 3013-24377-0;ENTRADA DE CHEQUES - HSBC
ES;XSON;1002000262;Salida de cheques;Salida de cheques - HSBC-B.Norte CC$ 3013-24377-0;SALIDA DE CHEQUES - HSBC-
ES;XSON;1002000263;Transferencias;Transferencias - HSBC-B.Norte CC$ 3013-24377-0;TRANSFERENCIAS - HSBC-B.N
ES;XSON;1002000264;Otros debitos;Otros debitos-HSBC-B.Norte CC$ 3013-24377-0;OTROS DEBITOS-HSBC-B.NORT
ES;XSON;1002000265;Otros creditos;Otros creditos - HSBC-B.Norte CC$ 3013-24377-0;OTROS CREDITOS - HSBC-B.N
ES;XSON;1002010000;Suntrust Bank Miami;Suntrust Bank Miami;SUNTRUST BANK MIAMI
ES;XSON;1002010001;Entrada de cheques;Entrada de cheques - Suntrust Miami;ENTRADA DE CHEQUES - SUNT
ES;XSON;1002010002;Salida de cheques;Salida de cheques - Suntrust Miami;SALIDA DE CHEQUES - SUNTR
ES;XSON;1002010003;Transferencias;Transferencias - Suntrust Miami;TRANSFERENCIAS - SUNTRUST
ES;XSON;1002010004;Otros debitos;Otros debitos - Suntrust Miami;OTROS DEBITOS - SUNTRUST
ES;XSON;1002010005;Otros creditos;Otros creditos - Suntrust Miami;OTROS CREDITOS - SUNTRUST
ES;XSON;1002010050;Bank of America FL1;Bank of America FL1;BANK OF AMERICA FL1
ES;XSON;1002010051;Entrada de cheques;Entrada de cheques - Bank of America FL1;ENTRADA DE CHEQUES - BANK
ES;XSON;1002010052;Salida de cheques;Salida de cheques - Bank of America FL1;SALIDA DE CHEQUES - BANK
ES;XSON;1002010053;Transferencias;Transferencias - Bank of America FL1;TRANSFERENCIAS - BANK OF
ES;XSON;1002010054;Otros debitos;Otros debitos - Bank of America FL1;OTROS DEBITOS - BANK OF A
ES;XSON;1002010055;Otros creditos;Otros creditos - Bank of America FL1;OTROS CREDITOS - BANK OF
ES;XSON;1002010060;Bank of America FL2;Bank of America FL2;BANK OF AMERICA FL2
ES;XSON;1002010061;Entrada de cheques;Entrada de cheques - Bank of America FL2;ENTRADA DE CHEQUES - BANK
ES;XSON;1002010062;Salida de cheques;Salida de cheques - Bank of America FL2;SALIDA DE CHEQUES - BANK
ES;XSON;1002010063;Transferencias;Transferencias - Bank of America FL2;TRANSFERENCIAS - BANK OF
ES;XSON;1002010064;Otros debitos;Otros debitos - Bank of America FL2;OTROS DEBITOS - BANK OF A
ES;XSON;1002010065;Otros creditos;Otros creditos - Bank of America FL2;OTROS CREDITOS - BANK OF
ES;XSON;1002010070;Suntrust Miami;Suntrust Miami -Ex Sitio USA;SUNTRUST MIAMI -EX SITIO
ES;XSON;1002010071;Entrada de cheques;Entrada de cheques - Suntrust Miami Ex Sitio USA;ENTRADA DE CHEQUES - SUNT
ES;XSON;1002010072;Salida de cheques;Salida de cheques - Suntrust Miami Ex Sitio USA;SALIDA DE CHEQUES - SUNTR
ES;XSON;1002010073;Transferencias;Transferencias - Suntrust Miami Ex Sitio USA;TRANSFERENCIAS - SUNTRUST
ES;XSON;1002010074;Otros debitos;Otros debitos - Suntrust Miami Ex Sitio USA;OTROS DEBITOS - SUNTRUST
ES;XSON;1002010075;Otros creditos;Otros creditos - Suntrust Miami Ex Sitio USA;OTROS CREDITOS - SUNTRUST
ES;XSON;1002010080;Suntrust Miami-S.Acc;Suntrust Miami-Special Account;SUNTRUST MIAMI-SPECIAL AC
ES;XSON;1002010081;Entrada de cheques;Entrada de cheques - Suntrust Miami Sp.account;ENTRADA DE CHEQUES - SUNT
ES;XSON;1002010082;Salida de cheques;Salida de cheques - Suntrust Miami Sp.account;SALIDA DE CHEQUES - SUNTR
ES;XSON;1002010083;Transferencias;Transferencias - Suntrust Miami Sp.account;TRANSFERENCIAS - SUNTRUST
ES;XSON;1002010084;Otros debitos;Otros debitos - Suntrust Miami Sp.account;OTROS DEBITOS - SUNTRUST
ES;XSON;1002010085;Otros creditos;Otros creditos - Suntrust Miami Sp.account;OTROS CREDITOS - SUNTRUST
ES;XSON;1002010090;Suntrust Payroll;Suntrust Miami Payroll;SUNTRUST MIAMI PAYROLL
ES;XSON;1002010091;Entrada de cheques;Entrada de cheques - Suntrust Payroll;ENTRADA DE CHEQUES - SUNT
ES;XSON;1002010092;Salida de cheques;Salida de cheques - Suntrust Payroll;SALIDA DE CHEQUES - SUNTR
